level,description_key,canonical_code,alias_code,alias_count,alias_sample_id
6,cantierizzazioni,A001,L001,3,694863e1865e3b0469148c07
6,assistenze murarie,A004,L004,3,694863e1865e3b0469148c09
6,opere di pavimentazione,A019,L019,3,694863e1865e3b0469148c15
6,controsoffitti,A020,L020,3,694863e1865e3b0469148c16
6,sistemi oscuranti per facciate,A022,L022,3,694863e1865e3b0469148c18
6,opere da serramentista,A025,L025,3,694863e1865e3b0469148c1b
6,opere da falegname,A027,L027,3,694863e1865e3b0469148c1c
6,opere da verniciatore,A032,L032,3,694863e1865e3b0469148c1f
6,apparecchi sanitari e accessori,A034,L034,3,694863e1865e3b0469148c20
6,arredi su misura,A039,L039,3,694863e1865e3b0469148c25
6,demolizioni e rimozioni,A005,L005,1,694870df9343b40ef865bdec
7,noli,A001.010,L001.010,2,694863e1865e3b0469148c2b
7,installazione cantiere,A001.020,L001.020,2,694863e1865e3b0469148c2c
7,pulizie di cantiere,A001.040,L001.040,2,694863e1865e3b0469148c2e
7,assistenze murarie alla posa di impianti,A004.010,L004.010,2,694863e1865e3b0469148c30
7,demolizione elementi civili,A005.030,L005.030,2,694863e1865e3b0469148c33
7,murature in altri materiali,A012.040,L012.040,2,694863e1865e3b0469148c3b
7,pareti in cartongesso strandard e idrorepellente,A013.070,L013.070,2,694863e1865e3b0469148c41
7,accessori per cartongessi,A013.100,L013.100,2,694863e1865e3b0469148c43
7,isolanti acustici,A014.030,L014.030,2,694863e1865e3b0469148c46
6,opere murarie,A012,L012,3,694863e1865e3b0469148c0e
7,impermeabilizzazioni bituminose,A015.020,L015.020,2,694863e1865e3b0469148c48
7,sottofondi pavimentazioni,A016.020,L016.020,2,694863e1865e3b0469148c4c
7,rivestimenti in gres e ceramica,A018.010,L018.010,2,694863e1865e3b0469148c51
7,altri rivestimenti,A018.040,L018.040,2,694863e1865e3b0469148c53
7,pavimenti in gres e ceramica,A019.010,L019.010,2,694863e1865e3b0469148c55
7,pavimenti in gomma o pvc,A019.020,L019.020,2,694863e1865e3b0469148c56
7,pavimenti in moquette e zerbini,A019.050,L019.050,2,694863e1865e3b0469148c57
